	Chr	Pos	-log10(pValue)
rs498	1	498	0.515
rs499	1	499	0.78
rs500	1	500	1.484
rs501	1	501	0.864
rs502	1	502	0.751
rs503	1	503	0.284
rs504	1	504	0.09
rs505	1	505	0.937
rs506	1	506	0.048
rs507	1	507	0.24
rs508	1	508	0.833
rs509	1	509	0.044
rs510	1	510	0.596
rs511	1	511	0.822
rs512	1	512	0.114
rs513	1	513	0.638
rs514	1	514	0.515
rs515	1	515	0.285
rs516	1	516	0.475
rs517	1	517	0.811
rs518	1	518	0.574
rs519	1	519	0.454
rs520	1	520	0.237
rs521	1	521	0.092
rs522	1	522	0.029
rs523	1	523	0.078
rs524	1	524	0.896
rs525	1	525	0.187
rs526	1	526	0.16
rs527	1	527	1.494
rs528	1	528	0.035
rs529	1	529	0.32
rs530	1	530	0.574
rs531	1	531	0.067
rs532	1	532	0.639
rs533	1	533	0.101
rs534	1	534	0.189
rs535	1	535	0.372
rs536	1	536	1.021
rs537	1	537	2.459
rs538	1	538	0.274
rs539	1	539	0.28
rs540	1	540	0.671
rs541	1	541	0.144
rs542	1	542	0.017
rs543	1	543	0.285
rs544	1	544	0.758
rs545	1	545	0.249
rs546	1	546	0.119
rs547	1	547	0.175
rs548	1	548	0.648
rs549	1	549	0.461
rs550	1	550	0.495
rs551	1	551	0.043
rs552	1	552	0.7
rs553	1	553	0.166
rs554	1	554	0.861
rs555	1	555	0.97
rs556	1	556	1.032
rs557	1	557	0.037
rs558	1	558	0.557
rs559	1	559	0.052
rs560	1	560	0.111
rs561	1	561	0.099
rs562	1	562	0.686
rs563	1	563	1.317
rs564	1	564	1.41
rs565	1	565	0.545
rs566	1	566	0.457
rs567	1	567	0.132
rs568	1	568	0.599
rs569	1	569	0.286
rs570	1	570	0.119
rs571	1	571	0.196
rs572	1	572	0.69
rs573	1	573	0.003
rs574	1	574	3.392
rs575	1	575	0.684
rs576	1	576	0.197
rs577	1	577	1.762
rs578	1	578	1.572
rs579	1	579	0.216
rs580	1	580	0.243
rs581	1	581	0.609
rs582	1	582	0.036
rs583	1	583	0.172
rs584	1	584	0.19
rs585	1	585	0.681
rs586	1	586	0.318
rs587	1	587	0.005
rs588	1	588	0.002
rs589	1	589	0.346
rs590	1	590	0.145
rs591	1	591	0.499
rs592	1	592	0.078
rs593	1	593	0.362
rs594	1	594	0.001
rs595	1	595	0.093
rs596	1	596	0.313
rs597	1	597	0.268
rs598	1	598	0.467
rs599	1	599	1.283
rs600	1	600	0.338
rs601	1	601	0.302
rs602	1	602	0.548
rs603	1	603	0.109
rs604	1	604	0.517
rs605	1	605	0.287
rs606	1	606	0.32
rs607	1	607	0.114
rs608	1	608	0.785
rs609	1	609	0.354
rs610	1	610	0.281
rs611	1	611	0.321
rs612	1	612	0.28
rs613	1	613	0.164
rs614	1	614	0.453
rs615	1	615	0.075
rs616	1	616	0.035
rs617	1	617	0.973
rs618	1	618	0.685
rs619	1	619	0.312
rs620	1	620	0.489
rs621	1	621	0.326
rs622	1	622	0.232
rs623	1	623	0.649
rs624	1	624	0.134
rs625	1	625	0.822
rs626	1	626	0.156
rs627	1	627	0.578
rs628	1	628	0.37
rs629	1	629	0.141
rs630	1	630	0.323
rs631	1	631	0.47
rs632	1	632	0.618
rs633	1	633	0.665
rs634	1	634	0.616
rs635	1	635	0.248
rs636	1	636	0.147
rs637	1	637	0.966
rs638	1	638	0.284
rs639	1	639	0.069
rs640	1	640	0.145
rs641	1	641	0.503
rs642	1	642	0.936
rs643	1	643	0.24
rs644	1	644	0.08
rs645	1	645	0.283
rs646	1	646	0.158
rs647	1	647	0.301
rs648	1	648	0.45
rs649	1	649	0.015
rs650	1	650	0.035
rs651	1	651	0.689
rs652	1	652	0.02
rs653	1	653	0.058
rs654	1	654	0.156
rs655	1	655	0.29
rs656	1	656	0.318
rs657	1	657	0.695
rs658	1	658	0.999
rs659	1	659	0.325
rs660	1	660	0.505
rs661	1	661	0.112
rs662	1	662	0.045
rs663	1	663	0.474
rs664	1	664	0.084
rs665	1	665	0.657
rs666	1	666	0.115
rs667	1	667	0.251
rs668	1	668	0.373
rs669	1	669	0.076
rs670	1	670	0.541
rs671	1	671	0.327
rs672	1	672	0.107
rs673	1	673	1.082
rs674	1	674	0.403
rs675	1	675	1.019
rs676	1	676	0.875
rs677	1	677	0.655
rs678	1	678	0.562
rs679	1	679	0.524
rs680	1	680	0.426
rs681	1	681	0.308
rs682	1	682	0.056
rs683	1	683	0.125
rs684	1	684	0.019
rs685	1	685	0.478
rs686	1	686	0.083
rs687	1	687	0.877
rs688	1	688	0.904
rs689	1	689	0.137
rs690	1	690	0.26
rs691	1	691	0.215
rs692	1	692	0.91
rs693	1	693	0.057
rs694	1	694	0.074
rs695	1	695	1.335
rs696	1	696	0.15
rs697	1	697	0.271
rs698	1	698	0.024
rs699	1	699	0.039
rs700	1	700	0.341
rs701	1	701	0.116
rs702	1	702	0.296
rs703	1	703	0.693
rs704	1	704	0.144
rs705	1	705	0.114
rs706	1	706	0.15
rs707	1	707	0.717
rs708	1	708	0.525
rs709	1	709	0.487
rs710	1	710	0.242
rs711	1	711	0.054
rs712	1	712	0.056
rs713	1	713	0.413
rs714	1	714	0.132
rs715	1	715	0.098
rs716	1	716	0.14
rs717	1	717	0.414
rs718	1	718	0.525
rs719	1	719	1.24
rs720	1	720	0.171
rs721	1	721	0.703
rs722	1	722	0.204
rs723	1	723	0.859
rs724	1	724	0.428
rs725	1	725	0.502
rs726	1	726	0.088
rs727	1	727	0.433
rs728	1	728	0.356
rs729	1	729	0.357
rs730	1	730	0.22
rs731	1	731	0.393
rs732	1	732	0.018
rs733	1	733	0.012
rs734	1	734	0.038
rs735	1	735	1.081
rs736	1	736	0.321
rs737	1	737	0.469
rs738	1	738	0.171
rs739	1	739	0.196
rs740	1	740	0.065
rs741	1	741	0.023
rs742	1	742	0.241
rs743	1	743	0.271
rs744	1	744	0.026
rs745	1	745	0.049
rs746	1	746	0.386
rs747	1	747	1.3
rs748	1	748	0.108
rs749	1	749	0.033
rs750	1	750	0.423
rs751	1	751	0.61
rs752	1	752	1.057
rs753	1	753	0.407
rs754	1	754	0.738
rs755	1	755	0.874
rs756	1	756	0.589
rs757	1	757	0.257
rs758	1	758	0.829
rs759	1	759	0.016
rs760	1	760	0.024
rs761	1	761	0.003
rs762	1	762	0.151
rs763	1	763	0.851
rs764	1	764	2.046
rs765	1	765	0.163
rs766	1	766	0.166
rs767	1	767	0.037
rs768	1	768	0.388
rs769	1	769	0.374
rs770	1	770	0.269
rs771	1	771	0.383
rs772	1	772	1.01
rs773	1	773	0.419
rs774	1	774	0.703
rs775	1	775	0.139
rs776	1	776	1.958
rs777	1	777	0.036
rs778	1	778	0.045
rs779	1	779	0.122
rs780	1	780	0.021
rs781	1	781	0.203
rs782	1	782	0.183
rs783	1	783	0.418
rs784	1	784	1.183
rs785	1	785	0.16
rs786	1	786	0.894
rs787	1	787	0.535
rs788	1	788	0.199
rs789	1	789	0.408
rs790	1	790	1.152
rs791	1	791	0.063
rs792	1	792	0.414
rs793	1	793	0.173
rs794	1	794	1.673
rs795	1	795	0.225
rs796	1	796	0.558
rs797	1	797	0.398
rs798	1	798	0.836
rs799	1	799	0.084
rs800	1	800	0.852
rs801	1	801	0.041
rs802	1	802	0.045
rs803	1	803	0.715
rs804	1	804	0.273
rs805	1	805	0.282
rs806	1	806	0.794
rs807	1	807	0.284
rs808	1	808	0.648
rs809	1	809	0.55
rs810	1	810	0.297
rs811	1	811	0.798
rs812	1	812	0.035
rs813	1	813	0.301
rs814	1	814	0.21
rs815	1	815	0.128
rs816	1	816	0.209
rs817	1	817	0.031
rs818	1	818	1.094
rs819	1	819	1.55
rs820	1	820	0.266
rs821	1	821	0.617
rs822	1	822	0.19
rs823	1	823	0.422
rs824	1	824	1.329
rs825	1	825	1.317
rs826	1	826	0.016
rs827	1	827	0.644
rs828	1	828	1.943
rs829	1	829	0.66
rs830	1	830	1.252
rs831	1	831	0.628
rs832	1	832	0.395
rs833	1	833	1.844
rs834	1	834	0.441
rs835	1	835	0.233
rs836	1	836	0.217
rs837	1	837	0.578
rs838	1	838	0.17
rs839	1	839	0.028
rs840	1	840	2.444
rs841	1	841	0.104
rs842	1	842	0.093
rs843	1	843	1.136
rs844	1	844	0.246
rs845	1	845	0.268
rs846	1	846	0.861
rs847	1	847	0.558
rs848	1	848	0.453
rs849	1	849	0.09
rs850	1	850	0.765
rs851	1	851	0.283
rs852	1	852	0.116
rs853	1	853	0.539
rs854	1	854	0.359
rs855	1	855	0.174
rs856	1	856	1.432
rs857	1	857	0.251
rs858	1	858	0.03
rs859	1	859	0.361
rs860	1	860	0.028
rs861	1	861	0.009
rs862	1	862	0.169
rs863	1	863	0.525
rs864	1	864	0.681
rs865	1	865	0.496
rs866	1	866	0.068
rs867	1	867	1.214
rs868	1	868	0.739
rs869	1	869	0.315
rs870	1	870	0.47
rs871	1	871	0.089
rs872	1	872	0.06
rs873	1	873	1.717
rs874	1	874	0.083
rs875	1	875	0.396
rs876	1	876	0.172
rs877	1	877	0.925
rs878	1	878	0.322
rs879	1	879	0.033
rs880	1	880	0.24
rs881	1	881	0.039
rs882	1	882	0.121
rs883	1	883	0.199
rs884	1	884	0.099
rs885	1	885	0.034
rs886	1	886	0.783
rs887	1	887	0.714
rs888	1	888	1.01
rs889	1	889	0.081
rs890	1	890	0.093
rs891	1	891	0.553
rs892	1	892	0.347
rs893	1	893	0.203
rs894	1	894	0.43
rs895	1	895	0.417
rs896	1	896	0.038
rs897	1	897	0.408
rs898	1	898	1.153
rs899	1	899	0.15
rs900	1	900	0.159
rs901	1	901	1.017
rs902	1	902	1.432
rs903	1	903	0.396
rs904	1	904	1.937
rs905	1	905	0.245
rs906	1	906	0.024
rs907	1	907	0.464
rs908	1	908	0.611
rs909	1	909	0.266
rs910	1	910	0.929
rs911	1	911	0.426
rs912	1	912	0.484
rs913	1	913	0.023
rs914	1	914	0.04
rs915	1	915	0.117
rs916	1	916	0.12
rs917	1	917	0
rs918	1	918	0.236
rs919	1	919	0.671
rs920	1	920	0.874
rs921	1	921	0.101
rs922	1	922	0.007
rs923	1	923	0.007
rs924	1	924	0.901
rs925	1	925	0.208
rs926	1	926	0.066
rs927	1	927	0.855
rs928	1	928	0.435
rs929	1	929	0.803
rs930	1	930	0.348
rs931	1	931	0.313
rs932	1	932	0.022
rs933	1	933	0.043
rs934	1	934	0.026
rs935	1	935	0.111
rs936	1	936	1.035
rs937	1	937	1.789
rs938	1	938	0.476
rs939	1	939	0.616
rs940	1	940	0.101
rs941	1	941	0.304
rs942	1	942	0.289
rs943	1	943	1.14
rs944	1	944	0.462
rs945	1	945	0.121
rs946	1	946	0.414
rs947	1	947	2.159
rs948	1	948	0.143
rs949	1	949	0.254
rs950	1	950	1.154
rs951	1	951	0.458
rs952	1	952	0.384
rs953	1	953	0.506
rs954	1	954	0.132
rs955	1	955	0.41
rs956	1	956	0.208
rs957	1	957	0.205
rs958	1	958	0.095
rs959	1	959	0.184
rs960	1	960	0.167
rs961	1	961	0.386
rs962	1	962	0.178
rs963	1	963	1.566
rs964	1	964	0.088
rs965	1	965	1.124
rs966	1	966	0.045
rs967	1	967	1.149
rs968	1	968	0.718
rs969	1	969	0.109
rs970	1	970	0.692
rs971	1	971	0.393
rs972	1	972	0.35
rs973	1	973	0.217
rs974	1	974	0.239
rs975	1	975	1.225
rs976	1	976	0.738
rs977	1	977	0.528
rs978	1	978	0.424
rs979	1	979	0.146
rs980	1	980	0.902
rs981	1	981	0.367
rs982	1	982	1.517
rs983	1	983	0.342
rs984	1	984	0.1
rs985	1	985	0.326
rs986	1	986	0.626
rs987	1	987	0.052
rs988	1	988	0.899
rs989	1	989	0.569
rs990	1	990	0.054
rs991	1	991	0.124
rs992	1	992	1.01
rs993	1	993	0.088
rs994	1	994	0.066
rs995	1	995	0.931
rs996	1	996	0.862
rs997	1	997	0.261
rs998	1	998	1.228
rs999	1	999	0.304
rs1000	1	1000	2.129
rs1001	1	1001	0.071
rs1002	1	1002	1.202
rs1003	1	1003	0.086
rs1004	1	1004	0.268
rs1005	1	1005	0.301
rs1006	1	1006	1.653
rs1007	1	1007	0.256
rs1008	1	1008	0.142
rs1009	1	1009	0.627
rs1010	1	1010	0.09
rs1011	1	1011	0.375
rs1012	1	1012	0.248
rs1013	1	1013	0.819
rs1014	1	1014	0.71
rs1015	1	1015	0.777
rs1016	1	1016	0.078
rs1017	1	1017	0.954
rs1018	1	1018	0.571
rs1019	1	1019	0.097
rs1020	1	1020	0.524
rs1021	1	1021	0.061
rs1022	1	1022	1.404
rs1023	1	1023	0.468
rs1024	1	1024	0.509
rs1025	1	1025	0.887
rs1026	1	1026	0.427
rs1027	1	1027	0.332
rs1028	1	1028	1.331
rs1029	1	1029	0.005
rs1030	1	1030	0.041
rs1031	1	1031	0.009
rs1032	1	1032	0.768
rs1033	1	1033	1.369
rs1034	1	1034	0.845
rs1035	1	1035	0.442
rs1036	1	1036	0.264
rs1037	1	1037	0.028
rs1038	1	1038	0.196
rs1039	1	1039	0.314
rs1040	1	1040	1.066
rs1041	1	1041	0.024
rs1042	1	1042	0.46
rs1043	1	1043	0.432
rs1044	1	1044	0.204
rs1045	1	1045	0.138
rs1046	1	1046	0.703
rs1047	1	1047	0.23
rs1048	1	1048	0.074
rs1049	1	1049	0
rs1050	1	1050	1.941
rs1051	1	1051	0.085
rs1052	1	1052	0.686
rs1053	1	1053	0.943
rs1054	1	1054	0.162
rs1055	1	1055	0.563
rs1056	1	1056	0.084
rs1057	1	1057	0.19
rs1058	1	1058	0.277
rs1059	1	1059	1.542
rs1060	1	1060	0.541
rs1061	1	1061	1.448
rs1062	1	1062	0.046
rs1063	1	1063	0.882
rs1064	1	1064	1.288
rs1065	1	1065	0.438
rs1066	1	1066	0.157
rs1067	1	1067	0.049
rs1068	1	1068	0.612
rs1069	1	1069	0.406
rs1070	1	1070	0.207
rs1071	1	1071	0.248
rs1072	1	1072	1.382
rs1073	1	1073	0.323
rs1074	1	1074	0.022
rs1075	1	1075	0.619
rs1076	1	1076	0.168
rs1077	1	1077	0.039
rs1078	1	1078	1.341
rs1079	1	1079	0.865
rs1080	1	1080	0.998
rs1081	1	1081	0.387
rs1082	1	1082	0.013
rs1083	1	1083	0.438
rs1084	1	1084	0.139
rs1085	1	1085	0.153
rs1086	1	1086	1.605
rs1087	1	1087	0.024
rs1088	1	1088	0.272
rs1089	1	1089	0.157
rs1090	1	1090	1.344
rs1091	1	1091	0.037
rs1092	1	1092	1.483
rs1093	1	1093	0.109
rs1094	1	1094	0.278
rs1095	1	1095	0.574
rs1096	1	1096	0.296
rs1097	1	1097	0.273
rs1098	1	1098	1.061
rs1099	1	1099	0.038
rs1100	1	1100	0.248
rs1101	1	1101	1.227
rs1102	1	1102	0.172
rs1103	1	1103	0.202
rs1104	1	1104	1.137
rs1105	1	1105	0.358
rs1106	1	1106	0.192
rs1107	1	1107	0.091
rs1108	1	1108	0.406
rs1109	1	1109	0.111
rs1110	1	1110	0.058
rs1111	1	1111	0.208
rs1112	1	1112	0.446
rs1113	1	1113	0.03
rs1114	1	1114	0.128
rs1115	1	1115	1.196
rs1116	1	1116	0.965
rs1117	1	1117	0.086
rs1118	1	1118	0.1
rs1119	1	1119	1.243
rs1120	1	1120	0.042
rs1121	1	1121	0.141
rs1122	1	1122	0.044
rs1123	1	1123	0.271
rs1124	1	1124	0.457
rs1125	1	1125	0.079
rs1126	1	1126	0.102
rs1127	1	1127	0.274
rs1128	1	1128	0.108
rs1129	1	1129	1.233
rs1130	1	1130	0.339
rs1131	1	1131	1.651
rs1132	1	1132	0.13
rs1133	1	1133	0.151
rs1134	1	1134	2.243
rs1135	1	1135	0.327
rs1136	1	1136	0.224
rs1137	1	1137	0.546
rs1138	1	1138	1.257
rs1139	1	1139	0.422
rs1140	1	1140	0.275
